Data,TempMax,TempMaxPredicted
1981-10-13,32.0,32.31843
1981-10-14,33.6,34.74378
1981-10-15,33.4,33.83078
1981-10-17,33.6,34.28581
1981-10-18,34.4,34.196888
1981-10-19,34.0,33.860115
1981-10-20,33.8,34.298958
1981-10-21,33.8,34.294674
1981-10-22,33.6,34.014233
1981-10-23,32.8,33.960068
1981-10-24,32.2,32.923973
1981-10-25,32.6,32.729015
1981-10-27,34.6,34.65409
1981-10-28,34.4,34.25852
1981-10-29,34.2,34.42039
1981-10-30,35.2,35.24153
1981-10-31,35.4,35.31887
1981-11-02,34.8,34.384888
1981-11-03,35.5,35.786804
1981-11-04,35.2,35.248608
1981-11-05,34.4,34.261703
1981-11-06,35.0,34.538902
1981-11-07,35.5,36.179195
1981-11-08,35.2,34.108784
1981-11-09,34.4,34.396427
1981-11-10,34.4,34.66899
1981-11-11,33.8,33.126385
1981-11-16,33.4,34.493603
1981-11-18,32.8,32.9477
1981-11-19,33.8,33.736248
1981-11-20,34.4,34.50339
1981-11-21,34.8,34.507156
1981-11-22,34.2,34.837234
1981-11-23,34.0,34.708347
1981-11-24,34.6,34.33307
1981-11-25,34.0,34.445827
1981-11-26,34.9,35.580387
1981-11-27,34.8,35.220577
1981-11-28,34.2,33.953693
1981-11-29,34.6,34.24768
1981-12-01,35.0,35.049774
1981-12-03,35.1,34.5493
1981-12-04,34.6,33.887394
1981-12-05,34.3,34.47597
1981-12-08,33.6,33.819504
1981-12-09,34.4,33.655735
1981-12-10,33.4,33.68912
1981-12-11,34.6,34.16349
1981-12-12,34.5,34.7438
1981-12-13,34.8,35.51966
1981-12-14,34.2,33.974426
1981-12-16,33.6,33.37881
1981-12-17,33.4,32.80462
1981-12-18,34.2,33.704266
1981-12-19,33.6,33.93841
1981-12-20,33.8,33.316685
1981-12-21,32.0,32.206013
1981-12-22,34.0,33.36204
1981-12-24,32.4,32.091408
1981-12-25,32.0,30.530947
1981-12-29,32.4,32.701244
1981-12-31,34.0,34.566708
1982-01-01,33.0,33.847347
1982-01-02,32.5,32.487766
1982-01-03,34.3,32.643158
1982-01-04,32.6,32.505077
1982-01-05,32.0,32.28705
1982-01-07,33.8,33.516495
1982-01-08,32.0,32.177715
1982-01-09,31.8,32.229866
1982-01-11,32.8,33.160965
1982-01-12,31.2,31.285732
1982-01-13,31.8,32.073334
1982-01-14,32.4,32.358658
1982-01-17,33.0,33.575157
1982-01-19,33.6,33.253418
1982-01-20,34.2,33.3914
1982-01-22,31.7,32.579823
1982-01-24,33.8,33.151844
1982-01-28,33.2,33.718964
1982-01-29,34.5,34.073277
1982-01-31,35.0,35.222263
1982-02-01,34.7,34.913834
1982-02-06,32.7,32.40788
1982-02-08,32.4,33.14792
1982-02-09,32.5,33.22546
1982-02-10,33.4,32.019924
1982-02-11,33.3,33.268494
